"","X","id","p_value","significant","significant_fdr"
"5231",5231,"AT2G23980",0.752231593095472,TRUE,TRUE
"14337",14337,"AT5G26770",0.752236872887016,TRUE,TRUE
"15172",15172,"AT5G47820",0.752417736568735,TRUE,TRUE
"6129",6129,"AT2G37640",0.752485012174088,TRUE,TRUE
"9638",9638,"AT3G55440",0.752575756238972,TRUE,TRUE
"10352",10352,"AT4G02500",0.752615478981817,TRUE,TRUE
"9344",9344,"AT3G51500",0.752656607680176,TRUE,TRUE
"9856",9856,"AT3G58730",0.7528000278463,TRUE,TRUE
"7374",7374,"AT3G07560",0.752959733775705,TRUE,TRUE
"2308",2308,"AT1G47230",0.753199291975552,TRUE,TRUE
"4624",4624,"AT2G07732",0.753248304508781,TRUE,TRUE
"13751",13751,"AT5G17210",0.753277549246479,TRUE,TRUE
"5428",5428,"AT2G27180",0.753522937452215,TRUE,TRUE
"2310",2310,"AT1G47250",0.753693378718749,TRUE,TRUE
"8992",8992,"AT3G45630",0.753695684254507,TRUE,TRUE
"2205",2205,"AT1G36980",0.753704217261933,TRUE,TRUE
"592",592,"AT1G09520",0.753824472846532,TRUE,TRUE
"12125",12125,"AT4G32470",0.754002154643995,TRUE,TRUE
"13877",13877,"AT5G19050",0.754082008479123,TRUE,TRUE
"6249",6249,"AT2G39330",0.754123500657782,TRUE,TRUE
"13431",13431,"AT5G12220",0.754217422238312,TRUE,TRUE
"3239",3239,"AT1G64890",0.754495106152913,TRUE,TRUE
"7390",7390,"AT3G07740",0.754513666844427,TRUE,TRUE
"13466",13466,"AT5G13050",0.754961622623048,TRUE,TRUE
"6606",6606,"AT2G44160",0.754991332578012,TRUE,TRUE
"12675",12675,"AT4G39990",0.755054232929729,TRUE,TRUE
"8549",8549,"AT3G24830",0.755132741168397,TRUE,TRUE
"14364",14364,"AT5G27345",0.755173424212441,TRUE,TRUE
"13349",13349,"AT5G11110",0.755234273170567,TRUE,TRUE
"13707",13707,"AT5G16550",0.755334467969732,TRUE,TRUE
"13066",13066,"AT5G06640",0.755419909918191,TRUE,TRUE
"11116",11116,"AT4G17300",0.755427061604159,TRUE,TRUE
"12882",12882,"AT5G03910",0.755483893056355,TRUE,TRUE
"10076",10076,"AT3G62270",0.75560143925819,TRUE,TRUE
"8640",8640,"AT3G26370",0.755626143511247,TRUE,TRUE
"15415",15415,"AT5G51770",0.755711954550866,TRUE,TRUE
"14426",14426,"AT5G28622",0.755745406743781,TRUE,TRUE
"16179",16179,"AT5G63160",0.755753846960274,TRUE,TRUE
"810",810,"AT1G12680",0.755754038423893,TRUE,TRUE
"1904",1904,"AT1G30300",0.755757455832237,TRUE,TRUE
"5966",5966,"AT2G35360",0.755775290828607,TRUE,TRUE
"382",382,"AT1G06630",0.755791511479808,TRUE,TRUE
"6888",6888,"AT2G48160",0.756044991403707,TRUE,TRUE
"13681",13681,"AT5G16220",0.756133890055618,TRUE,TRUE
"16114",16114,"AT5G62290",0.75615463049046,TRUE,TRUE
"13815",13815,"AT5G18190",0.756168495718009,TRUE,TRUE
"6329",6329,"AT2G40300",0.756217702634679,TRUE,TRUE
"13824",13824,"AT5G18290",0.756225233041689,TRUE,TRUE
"669",669,"AT1G10530",0.756242795349731,TRUE,TRUE
"10435",10435,"AT4G03920",0.756528294780076,TRUE,TRUE
"5421",5421,"AT2G27090",0.756531851365485,TRUE,TRUE
"8976",8976,"AT3G45160",0.756665378154358,TRUE,TRUE
"2912",2912,"AT1G58230",0.756772191535712,TRUE,TRUE
"8562",8562,"AT3G25120",0.756939708559887,TRUE,TRUE
"83",83,"AT1G02140",0.757012877105845,TRUE,TRUE
"1567",1567,"AT1G24020",0.757041965802506,TRUE,TRUE
"12372",12372,"AT4G35840",0.757133261240332,TRUE,TRUE
"686",686,"AT1G10720",0.757165278660113,TRUE,TRUE
"3270",3270,"AT1G65410",0.757315181331561,TRUE,TRUE
"15013",15013,"AT5G45370",0.757399558552584,TRUE,TRUE
"7925",7925,"AT3G15450",0.75747962667129,TRUE,TRUE
"14996",14996,"AT5G45100",0.757503870269732,TRUE,TRUE
"11355",11355,"AT4G21350",0.757610372607648,TRUE,TRUE
"16510",16510,"AT5G67460",0.757694233027301,TRUE,TRUE
"3834",3834,"AT1G73970",0.75771096315482,TRUE,TRUE
"2426",2426,"AT1G49480",0.757784933100463,TRUE,TRUE
"4224",4224,"AT1G79560",0.757845604105204,TRUE,TRUE
"6198",6198,"AT2G38670",0.757991073006378,TRUE,TRUE
"3947",3947,"AT1G75630",0.758104003166804,TRUE,TRUE
"1971",1971,"AT1G31300",0.758252191415222,TRUE,TRUE
"10548",10548,"AT4G07990",0.75827946248825,TRUE,TRUE
"10350",10350,"AT4G02460",0.758546510874227,TRUE,TRUE
"15998",15998,"AT5G60390",0.758571513627577,TRUE,TRUE
"5159",5159,"AT2G22680",0.758599587450131,TRUE,TRUE
"12192",12192,"AT4G33410",0.758663339948764,TRUE,TRUE
"1767",1767,"AT1G27960",0.758737190039613,TRUE,TRUE
"12987",12987,"AT5G05520",0.758760832895664,TRUE,TRUE
"6042",6042,"AT2G36360",0.758770099470609,TRUE,TRUE
"4277",4277,"AT1G80270",0.758893889890332,TRUE,TRUE
"9490",9490,"AT3G53430",0.758894815916769,TRUE,TRUE
"1086",1086,"AT1G16610",0.759163651636929,TRUE,TRUE
"15809",15809,"AT5G57655",0.759197226672318,TRUE,TRUE
"4734",4734,"AT2G15292",0.759197932819151,TRUE,TRUE
"8664",8664,"AT3G26680",0.759215671023634,TRUE,TRUE
"4658",4658,"AT2G11240",0.759231607901178,TRUE,TRUE
"5671",5671,"AT2G30890",0.759484707697328,TRUE,TRUE
"16523",16523,"AT5G67610",0.759614825436138,TRUE,TRUE
"9854",9854,"AT3G58710",0.759651171885765,TRUE,TRUE
"6244",6244,"AT2G39270",0.759779113624728,TRUE,TRUE
"2927",2927,"AT1G58590",0.760081011450718,TRUE,TRUE
"9585",9585,"AT3G54810",0.76008229077784,TRUE,TRUE
"8200",8200,"AT3G19330",0.76035356412226,TRUE,TRUE
"14356",14356,"AT5G27210",0.760360237874788,TRUE,TRUE
